Sakoe_Chiba,N,Time (s)
10,13,647.6963785
10,14,1019.471653
10,15,663.3601007
10,16,463.0436404
10,17,92.00427103
10,18,1011.227324
10,19,554.7841067
10,20,390.1171997
11,1,4570.449917
11,2,4164.906857
11,3,4024.682023
11,4,3547.197289
11,5,3367.530319
11,6,3363.648636
11,7,2653.154343
11,8,2213.089856
11,9,1766.201685
11,10,1506.998789
11,11,1586.643505
11,12,1026.328476
11,13,650.1363599
11,14,1208.481167
11,15,668.119801
11,16,465.4927514
11,17,218.0736394
11,18,1344.617916
11,19,1111.271158
11,20,564.2366705
12,1,4558.754136
12,2,4206.460983
12,3,4029.86092
12,4,3593.620183
12,5,3375.325706
12,6,3344.775137
12,7,2692.878907
12,8,2204.233267
12,9,1935.219436
12,10,1510.596502
12,11,1673.658139
12,12,1405.550119
12,13,764.960973
12,14,1515.957284
12,15,907.077203
12,16,564.7739069
12,17,215.4871001
12,18,1341.163389
12,19,1186.279649
12,20,914.5461006
13,1,4561.343913
13,2,4181.616629
13,3,4025.07858
13,4,3670.323517
13,5,3372.253248
13,6,3355.412657
13,7,2886.255436
13,8,2403.992827
13,9,2228.821767
13,10,1506.853759
13,11,1767.856141
13,12,1443.122942
13,13,926.4644296
13,14,1594.406485
13,15,946.0817528
13,16,612.8573496
13,17,217.5872102
13,18,1594.01743
13,19,1392.737274
13,20,1091.936381
14,1,4577.113823
14,2,4203.445228
14,3,4036.02132
14,4,3768.147888
14,5,3575.334403
14,6,3361.35123
14,7,3200.985236
14,8,2964.852722
14,9,2617.863988
14,10,1870.052142
14,11,1809.921084
14,12,1433.640862
14,13,1023.917309
14,14,1585.321755
14,15,1251.434836
14,16,1027.065103
14,17,217.2637355
14,18,1593.860925
14,19,1438.800909
14,20,1184.672551
15,1,4570.055315
15,2,4200.614065
15,3,4020.573686
15,4,3881.468036
15,5,3572.843352
15,6,3509.524402
15,7,3190.656678
15,8,2647.108949
15,9,2998.97954
15,10,2195.73224
15,11,2102.884566
15,12,1783.490581
15,13,1081.493795
15,14,1592.898716
15,15,1511.920048
15,16,1056.968684
15,17,393.5861089
15,18,1593.813571
15,19,1435.146631
15,20,1233.362679
16,1,4572.16912
16,2,4167.714936
16,3,4015.406356
16,4,3869.335498
16,5,3823.548524
16,6,3689.864994
16,7,3277.21838
16,8,2915.061266
16,9,2978.396881
16,10,2186.310389
16,11,2447.919107
16,12,1876.56211
16,13,1432.502742
16,14,1684.136169
16,15,1512.347179
16,16,1055.981243
16,17,449.1691508
16,18,1593.282724
16,19,1432.588147
16,20,1226.945211
17,1,4571.997966
17,2,4188.35696
17,3,4046.819285
17,4,3894.826568
17,5,3821.742959
17,6,3696.913803
17,7,3449.301809
17,8,2977.595723
17,9,3093.733433
17,10,2273.311425
17,11,2282.250536
17,12,1875.284053
17,13,1423.543305
17,14,1694.559797
17,15,1588.638422
17,16,1334.102143
17,17,446.5041258
17,18,1593.016468
17,19,1432.518374
17,20,1437.978344
18,1,4555.592917
18,2,4169.299981
18,3,4036.475277
18,4,3882.52318
18,5,3810.133993
18,6,3701.256032
18,7,3678.739363
18,8,3142.198769
18,9,3073.963792
18,10,2282.282987
18,11,2295.084427
18,12,1988.04731
18,13,1448.155071
18,14,1687.006395
18,15,1680.434529
18,16,1597.984712
18,17,826.9959366
18,18,1597.39744
18,19,1435.324821
18,20,1433.042915
19,1,4585.349683
19,2,4201.989821
19,3,4048.437809
19,4,3899.706517
19,5,3824.540655
19,6,3689.94817
19,7,3701.334401
19,8,3282.615409
19,9,3098.100581
19,10,2448.831823
19,11,2367.299151
19,12,1984.06324
19,13,1454.932456
19,14,1693.004354
19,15,1690.45504
19,16,1590.433368
19,17,826.3214097
19,18,1593.437223
19,19,1442.429459
19,20,1447.311375
20,1,4570.278393
20,2,4190.020595
20,3,4044.61338
20,4,3887.668742
20,5,3830.156768
20,6,3707.905833
20,7,3687.554026
20,8,3283.425754
20,9,3084.907873
20,10,2343.934266
20,11,2533.48377
20,12,1992.405311
20,13,1593.97546
20,14,1690.921998
20,15,1689.315911
20,16,1594.845059
20,17,1190.587117
20,18,1596.271258
20,19,1438.538941
20,20,1436.438638
